from_regime,to_regime,transitions,mean_days_in_src,median_days_in_src,min_days_in_src,max_days_in_src
BULL,RANGE,90,1.78,1.0,0.12,8.46
BULL,CRASH,4,2.62,2.64,1.29,3.88
CORRECTION,CRASH,30,2.45,0.82,0.12,10.29
CORRECTION,RECOVERY,14,5.64,4.25,1.46,13.0
CRASH,RECOVERY,62,13.87,14.23,1.75,23.04
CRASH,CORRECTION,44,3.59,2.44,0.12,12.58
RANGE,BULL,85,1.69,0.88,0.12,12.21
RANGE,CRASH,23,2.13,1.67,0.12,8.29
RECOVERY,CRASH,49,4.21,3.96,3.0,7.04
RECOVERY,RANGE,17,7.0,7.0,7.0,7.0
RECOVERY,BULL,10,7.0,7.0,7.0,7.04
